id,姓名,加入時間,班級
986,李宜庭,2021-08-31 16:46:30.059851,9月班
987,徐怡婷,2021-08-30 09:48:18.613411,9月班
988,謝惠如,2021-08-28 21:30:53.910156,9月班
989,王淑芬,2021-08-31 20:01:49.793591,9月班
990,羅淑玲,2021-08-22 18:58:08.946823,9月班
991,王中山,2021-08-26 09:45:46.165882,9月班
992,馬志宏,2021-08-28 05:07:33.414743,9月班
993,王淑娟,2021-08-30 20:12:49.386251,9月班
994,黃龍,2021-08-27 21:25:31.093164,9月班
995,林冠廷,2021-08-28 16:15:56.375026,9月班
996,袁怡伶,2021-08-25 13:43:22.033543,9月班
997,謝雅涵,2021-08-24 07:23:06.376486,9月班
998,關淑娟,2021-08-21 08:37:48.682733,9月班
999,施俊賢,2021-08-30 05:06:46.329898,9月班
1000,邵柏翰,2021-08-23 19:37:04.227561,9月班
1001,章心怡,2021-08-26 00:51:57.718953,9月班
1002,江宜君,2021-08-26 05:39:39.485918,9月班
1003,潘志豪,2021-08-30 08:02:21.665311,9月班
1004,居怡萱,2021-08-19 15:09:33.180327,9月班
1005,蘭宜君,2021-08-16 14:32:19.864845,9月班
1006,郭雅芳,2021-08-27 17:00:29.671390,9月班
1007,吳詩婷,2021-08-28 19:16:12.155939,9月班
1008,韓佳慧,2021-08-31 07:04:20.749134,9月班
1009,陳佩珊,2021-08-28 07:00:11.593757,9月班
1010,張家瑜,2021-08-31 12:42:41.767667,9月班
1011,常怡萱,2021-08-27 20:58:20.199140,9月班
1012,紀淑娟,2021-08-28 15:16:45.213864,9月班
1013,曾美琪,2021-08-18 02:11:44.540968,9月班
1014,饒佩珊,2021-08-28 08:58:14.115100,9月班
1015,齊筱涵,2021-08-29 22:53:44.314024,9月班
1016,王婷婷,2021-08-21 11:08:43.499167,9月班
1017,張靜怡,2021-08-21 10:00:13.418784,9月班
1018,馬雅涵,2021-08-31 22:44:17.781085,9月班
1019,張鈺婷,2021-08-25 22:16:51.578100,9月班
1020,席家瑜,2021-08-31 05:21:31.785056,9月班
1021,杜龍,2021-08-28 12:04:16.270058,9月班
1022,陳馨儀,2021-08-30 07:50:14.446667,9月班
1023,劉美琪,2021-08-26 18:38:42.579424,9月班
1024,黃美琪,2021-08-20 03:43:08.636362,9月班
1025,陳家豪,2021-08-26 06:06:35.751819,9月班
1026,王飛,2021-08-23 12:26:53.470277,9月班
1027,陳俊賢,2021-08-29 13:16:21.246589,9月班
1028,陳佩珊,2021-08-22 02:32:15.038861,9月班
1029,張怡婷,2021-08-26 02:04:42.747206,9月班
1030,賈惠雯,2021-08-27 05:12:20.092691,9月班
1031,施鈺婷,2021-08-26 06:41:25.275735,9月班
1032,李俊傑,2021-08-30 06:08:47.189220,9月班
1033,黃雅婷,2021-08-29 18:53:21.856073,9月班
1034,薛雅琪,2021-08-29 18:08:52.340621,9月班
1035,吳懿,2021-08-25 20:44:50.360112,9月班
1036,高筱涵,2021-08-29 12:12:59.344362,9月班
1037,劉鈺婷,2021-08-25 19:53:45.294715,9月班
1038,劉信宏,2021-08-30 22:55:08.544279,9月班
1039,張怡婷,2021-08-22 23:52:52.061546,9月班
1040,劉詩婷,2021-08-28 22:46:04.145647,9月班
1041,駱佳蓉,2021-08-27 06:55:47.933868,9月班
1042,汪宗翰,2021-08-21 02:41:56.815899,9月班
1043,趙淑慧,2021-08-28 01:26:20.815299,9月班
1044,張佳穎,2021-08-29 22:22:42.492754,9月班
1045,楊雅萍,2021-08-31 05:55:57.821680,9月班
1046,蔡志偉,2021-08-23 10:49:18.489421,9月班
1047,林承翰,2021-08-31 13:01:31.484402,9月班
1048,王佩珊,2021-08-23 12:46:26.945052,9月班
1049,丁雅萍,2021-08-26 12:42:09.643839,9月班
1050,陳郁雯,2021-08-22 04:27:30.962687,9月班
1051,李詩涵,2021-08-20 08:36:57.088116,9月班
1052,彭家瑜,2021-08-17 11:02:32.544048,9月班
1053,馬怡安,2021-08-30 21:10:29.320219,9月班
1054,胡庭瑋,2021-08-23 06:28:26.600290,9月班
1055,吳志宏,2021-08-27 01:59:21.625642,9月班
1056,張淑慧,2021-08-26 14:43:33.747272,9月班
1057,劉思穎,2021-08-24 17:00:34.297832,9月班
1058,王惠如,2021-08-27 00:38:46.374998,9月班
1059,王靜怡,2021-08-29 23:06:50.838668,9月班
1060,李嘉玲,2021-08-29 03:47:14.866395,9月班
1061,吳沖,2021-08-28 13:33:00.576531,9月班
1062,塗雅涵,2021-08-29 01:38:45.026549,9月班
1063,耿志宏,2021-08-23 20:25:26.789228,9月班
1064,朱懿,2021-08-27 11:40:23.965936,9月班
1065,沙俊傑,2021-08-30 03:50:09.255137,9月班
1066,李淑娟,2021-08-23 20:31:36.739357,9月班
1067,賈怡萱,2021-08-31 00:09:49.132486,9月班
1068,歐陽惠如,2021-08-27 03:32:40.547263,9月班
1069,王家瑋,2021-08-27 16:26:12.853329,9月班
1070,丁美琪,2021-08-25 06:53:25.783842,9月班
1071,莊家豪,2021-08-31 02:06:32.885328,9月班
1072,彭惠婷,2021-08-28 00:54:57.983525,9月班
1073,朱佳玲,2021-08-31 20:04:52.883099,9月班
1074,潘懿,2021-08-24 09:08:30.758414,9月班
1075,陳家瑜,2021-08-22 06:43:36.152855,9月班
1076,蔔惠婷,2021-08-28 16:58:23.013087,9月班
1077,宋冠霖,2021-08-25 14:59:13.860363,9月班
1078,吳思穎,2021-08-30 08:12:40.565993,9月班
1079,劉志偉,2021-08-24 04:23:55.985290,9月班
1080,鄒淑貞,2021-08-31 06:25:12.789658,9月班
1081,黃雅萍,2021-08-27 02:42:38.406910,9月班
1082,童庭瑋,2021-08-26 06:55:12.224629,9月班
1083,甘冠宇,2021-08-21 15:23:11.880419,9月班
1084,張雅慧,2021-08-30 10:40:45.801958,9月班
1085,王佳樺,2021-08-26 22:48:58.622718,9月班
1086,張宗翰,2021-08-28 14:45:36.862684,9月班
1087,蕭淑慧,2021-08-24 19:02:31.704634,9月班
1088,張怡萱,2021-08-26 08:03:53.816498,9月班
1089,洪志宏,2021-08-28 17:50:26.269171,9月班
1090,柳彥廷,2021-08-28 09:41:27.554677,9月班
1091,沈佳樺,2021-08-22 20:43:21.167770,9月班
1092,莊雅雯,2021-08-27 13:36:12.280895,9月班
1093,梁雅琪,2021-08-30 19:29:38.489428,9月班
1094,謝冠霖,2021-08-27 11:04:46.331555,9月班
1095,許佳蓉,2021-08-29 18:24:32.752858,9月班
1096,盛羽,2021-08-25 13:21:22.265400,9月班
1097,朱郁婷,2021-08-30 00:00:38.494582,9月班
1098,吳佩珊,2021-08-31 19:35:52.882197,9月班
1099,沈詩婷,2021-08-30 12:33:47.855314,9月班
1100,羅志偉,2021-08-29 17:26:09.368173,9月班
1101,叢郁婷,2021-08-31 15:53:33.615472,9月班
1102,牛佩珊,2021-08-25 03:17:30.949545,9月班
1103,李雅婷,2021-08-25 12:10:14.042540,9月班
1104,王冠宇,2021-08-20 18:37:03.620162,9月班
1105,鄒佳穎,2021-08-25 11:20:35.193576,9月班
1106,楊家瑜,2021-08-21 09:08:34.428961,9月班
1107,甘美玲,2021-08-27 18:25:16.203319,9月班
1108,李佩君,2021-08-30 08:19:45.865401,9月班
1109,郭美玲,2021-08-30 02:54:41.150379,9月班
1110,吳嘉玲,2021-08-24 18:39:59.718004,9月班
1111,李怡萱,2021-08-25 09:28:23.147541,9月班
1112,黃馨儀,2021-08-22 21:08:47.975661,9月班
1113,葉淑惠,2021-08-29 18:56:03.826697,9月班
1114,張傑克,2021-08-28 20:07:13.053519,9月班
1115,孫美玲,2021-08-29 19:18:19.378520,9月班
1116,趙威廷,2021-08-21 22:34:46.122628,9月班
1117,夏婉婷,2021-08-28 15:20:16.500245,9月班
1118,童思穎,2021-08-27 14:20:44.153908,9月班
1119,關宜庭,2021-08-29 03:45:12.830733,9月班
1120,張婉婷,2021-08-22 02:46:30.300088,9月班
1121,張詩涵,2021-08-29 19:37:10.489534,9月班
1122,陳佩珊,2021-08-31 20:40:54.029997,9月班
1123,姜淑芬,2021-08-20 09:14:10.916403,9月班
1124,蘇家瑜,2021-08-26 17:03:56.922816,9月班
1125,張宗翰,2021-08-30 16:43:18.605974,9月班
1126,鐘怡婷,2021-08-20 20:16:21.369771,9月班
1127,陳雅文,2021-08-29 17:56:04.780258,9月班
1128,張家豪,2021-08-29 16:51:49.369213,9月班
1129,羅雅涵,2021-08-27 23:28:58.164386,9月班
1130,李雅涵,2021-08-28 13:55:00.164315,9月班
1131,周龍,2021-08-19 22:52:37.150988,9月班
1132,陳淑貞,2021-08-23 04:53:33.381715,9月班
1133,徐思穎,2021-08-26 12:13:28.106766,9月班
1134,韓淑貞,2021-08-30 07:13:32.877479,9月班
1135,文羽,2021-08-31 11:50:51.852860,9月班
1136,和中山,2021-08-26 03:56:51.366555,9月班
1137,李怡婷,2021-08-30 21:10:18.814195,9月班
1138,董筱涵,2021-08-29 05:42:53.688037,9月班
1139,陳彥廷,2021-08-30 17:18:26.003058,9月班
1140,崔依婷,2021-08-25 07:03:00.984093,9月班
1141,蔣怡伶,2021-08-31 07:06:40.534437,9月班
1142,曹雅婷,2021-08-22 12:22:45.691524,9月班
1143,玉淑惠,2021-08-27 16:53:39.080372,9月班
1144,葉嘉玲,2021-08-31 11:53:31.062757,9月班
1145,楊中山,2021-08-26 11:54:49.338479,9月班
1146,韓宗翰,2021-08-27 19:51:47.013324,9月班
1147,康宇軒,2021-08-31 07:27:33.767233,9月班
1148,萬雅芳,2021-08-28 05:01:16.299135,9月班
1149,方佳蓉,2021-08-26 17:42:52.089179,9月班
1150,何婉婷,2021-08-28 18:45:13.699444,9月班
1151,郭心怡,2021-08-20 05:02:25.434247,9月班
1152,吳詩婷,2021-08-30 13:17:31.238033,9月班
1153,田建宏,2021-08-25 06:40:11.155289,9月班
1154,王佳穎,2021-08-31 15:06:00.288826,9月班
1155,石家瑋,2021-08-23 11:31:23.384256,9月班
1156,曹佩君,2021-08-27 16:57:45.261663,9月班
1157,程威廷,2021-08-29 20:46:33.987795,9月班
1158,張宗翰,2021-08-30 04:13:28.917007,9月班
1159,林冠廷,2021-08-25 05:03:02.026807,9月班
1160,嚴宇軒,2021-08-28 03:34:12.514075,9月班
1161,張怡婷,2021-08-31 04:26:24.622852,9月班
1162,楊雅雯,2021-08-25 03:42:16.892908,9月班
1163,馬雅惠,2021-08-23 10:11:20.606031,9月班
1164,高心怡,2021-08-28 17:15:24.080487,9月班
1165,曾志豪,2021-08-29 21:17:27.811451,9月班
1166,田家瑋,2021-08-31 04:14:32.721793,9月班
1167,陳宗翰,2021-08-27 03:17:44.805033,9月班
1168,王佳樺,2021-08-26 17:21:19.727215,9月班
1169,羅婷婷,2021-08-27 16:02:39.257890,9月班
1170,王惠婷,2021-08-29 14:58:18.832898,9月班
1171,戴冠宇,2021-08-28 03:32:19.759455,9月班
1172,方筱涵,2021-08-28 06:49:58.045637,9月班
1173,周淑慧,2021-08-27 00:33:32.551372,9月班
1174,黃詩涵,2021-08-28 07:20:51.194413,9月班
1175,陳欣怡,2021-08-25 20:13:23.297922,9月班
1176,姚淑慧,2021-08-28 13:32:10.215753,9月班
1177,楊彥廷,2021-08-31 10:07:52.964257,9月班
1178,蒙怡君,2021-08-30 21:53:28.048114,9月班
1179,陳承翰,2021-08-31 01:49:48.548930,9月班
1180,厲美琪,2021-08-31 03:59:37.577645,9月班
1181,方詩涵,2021-08-27 11:14:08.097478,9月班
1182,李心怡,2021-08-30 16:51:27.060010,9月班
1183,李慧君,2021-08-29 18:25:05.805294,9月班
1184,廖志宏,2021-08-25 19:22:40.366536,9月班
1185,楊冠宇,2021-08-28 09:27:30.796096,9月班
1186,張雅涵,2021-08-24 20:43:18.499430,9月班
1187,李龍,2021-08-30 06:33:21.769944,9月班
1188,陳雅玲,2021-08-28 04:17:57.127576,9月班
1189,葉雅婷,2021-08-29 03:36:02.348372,9月班
1190,羅俊宏,2021-08-30 08:56:33.879819,9月班
1191,姚彥廷,2021-08-31 05:59:30.768338,9月班
1192,郝家瑜,2021-08-28 06:08:25.935447,9月班
1193,趙雅文,2021-08-27 19:19:03.801703,9月班
1194,謝雅惠,2021-08-30 21:41:39.005720,9月班
1195,張怡君,2021-08-31 07:16:26.831125,9月班
1196,李宜君,2021-08-30 14:41:20.688578,9月班
1197,王婷婷,2021-08-30 18:36:21.699856,9月班
1198,農依婷,2021-08-30 01:00:46.566913,9月班
1199,農怡安,2021-08-29 01:20:25.893484,9月班
1200,馮建宏,2021-08-30 09:00:35.435207,9月班
1201,李庭瑋,2021-08-25 05:25:22.122872,9月班
1202,陳怡伶,2021-08-25 14:34:10.741989,9月班
1203,徐淑華,2021-08-29 20:06:53.535156,9月班
1204,範詩涵,2021-08-29 18:49:06.356529,9月班
1205,譚惠如,2021-08-30 11:38:23.961206,9月班
1206,劉承翰,2021-08-23 18:31:59.367352,9月班
1207,張惠雯,2021-08-29 06:08:59.824161,9月班
1208,王家銘,2021-08-29 03:05:54.752740,9月班
1209,馬雅雯,2021-08-28 08:36:00.665641,9月班
1210,劉龍,2021-08-29 17:39:12.936169,9月班
1211,吳家豪,2021-08-31 10:27:21.748744,9月班
1212,利彥廷,2021-08-27 13:40:57.587123,9月班
1213,蕭羽,2021-08-24 04:41:41.301163,9月班
1214,張淑慧,2021-08-29 23:41:19.889661,9月班
1215,李俊傑,2021-08-29 02:12:08.545482,9月班
1216,顧雅玲,2021-08-22 06:12:19.653004,9月班
1217,王懿,2021-08-29 01:02:08.101530,9月班
1218,金怡萱,2021-08-24 17:55:49.070998,9月班
1219,宋依婷,2021-08-29 15:10:42.648266,9月班
1220,羅雅婷,2021-08-20 21:24:11.436764,9月班
1221,蔣怡婷,2021-08-23 19:32:50.866249,9月班
1222,孟宇軒,2021-08-26 06:44:35.960835,9月班
1223,魏宜庭,2021-08-25 10:56:09.103961,9月班
1224,陳鈺婷,2021-08-24 18:53:55.365246,9月班
1225,沈雅筑,2021-08-22 04:08:03.243789,9月班
1226,杜淑玲,2021-08-25 00:29:57.455763,9月班
1227,張志偉,2021-08-28 06:24:30.645699,9月班
1228,李雅芳,2021-08-30 10:45:23.012475,9月班
1229,李哲瑋,2021-08-26 02:44:02.017356,9月班
1230,尹惠雯,2021-08-25 18:18:21.951653,9月班
1231,李雅筑,2021-08-25 22:20:16.692152,9月班
1232,倪沖,2021-08-24 17:11:14.964830,9月班
1233,齊鈺婷,2021-08-20 19:30:57.843080,9月班
1234,鄧宜君,2021-08-17 09:26:27.456192,9月班
1235,張庭瑋,2021-08-28 01:06:02.711717,9月班
1236,吳靜怡,2021-08-30 22:50:44.584653,9月班
1237,張雅涵,2021-08-27 03:20:52.772504,9月班
1238,李琬婷,2021-08-29 21:55:55.214749,9月班
1239,彭嘉玲,2021-08-31 11:18:16.656756,9月班
1240,馮彥廷,2021-08-25 08:15:09.373136,9月班
1241,柯建宏,2021-08-28 13:41:03.064614,9月班
1242,徐傑克,2021-08-31 22:08:20.980734,9月班
1243,袁俊賢,2021-08-28 11:40:45.849940,9月班
1244,馮思穎,2021-08-23 10:01:40.060367,9月班
1245,曹佩珊,2021-08-24 02:14:24.238381,9月班
1246,蕭雅芳,2021-08-30 17:11:07.783994,9月班
1247,富俊宏,2021-08-25 17:16:40.677481,9月班
1248,宋嘉玲,2021-08-25 06:58:15.557988,9月班
1249,龐淑貞,2021-08-28 09:57:19.165577,9月班
1250,李志偉,2021-08-26 02:33:26.352515,9月班
1251,戴俊賢,2021-08-30 23:25:04.114066,9月班
1252,韓嘉玲,2021-08-30 19:01:02.119975,9月班
1253,陶怡君,2021-08-30 15:04:35.725975,9月班
1254,賀佩珊,2021-08-31 20:40:35.740276,9月班
1255,孟怡婷,2021-08-28 03:41:21.595424,9月班
1256,何威廷,2021-08-23 06:16:27.451456,9月班
1257,史沖,2021-08-26 19:28:41.211522,9月班
1258,廖惠雯,2021-08-20 09:30:58.898088,9月班
1259,王威廷,2021-08-28 16:50:21.953827,9月班
1260,周惠婷,2021-08-28 12:36:43.004674,9月班
1261,邸思穎,2021-08-26 03:08:02.344338,9月班
1262,陳雅芳,2021-08-31 20:04:56.441582,9月班
1263,周心怡,2021-08-30 06:58:19.108434,9月班
1264,何婉婷,2021-08-31 03:58:00.197393,9月班
1265,李雅婷,2021-08-26 07:07:11.442930,9月班
1266,萬郁婷,2021-08-24 23:16:53.372175,9月班
1267,李美琪,2021-08-30 20:27:08.550189,9月班
1268,張美琪,2021-08-27 21:23:27.387269,9月班
1269,邱家豪,2021-08-25 08:15:52.502917,9月班
1270,徐志豪,2021-08-29 10:30:45.595515,9月班
1271,賀慧君,2021-08-23 10:53:58.649577,9月班
1272,趙雅文,2021-08-24 07:22:48.089985,9月班
1273,羅欣怡,2021-08-17 13:24:37.186241,9月班
1274,劉雅玲,2021-08-23 17:21:44.664456,9月班
1275,支宜庭,2021-08-18 09:20:25.688718,9月班
1276,王怡伶,2021-08-29 22:36:59.870933,9月班
1277,黃瑋婷,2021-08-27 18:29:53.309541,9月班
1278,徐筱涵,2021-08-29 21:03:10.445506,9月班
1279,李淑貞,2021-08-31 18:23:33.470380,9月班
1280,吳依婷,2021-08-24 19:27:41.139952,9月班
1281,張彥廷,2021-08-27 03:15:31.438734,9月班
1282,徐志偉,2021-08-24 00:48:48.832852,9月班
1283,李雅慧,2021-08-30 04:34:08.525209,9月班
1284,羅雅雯,2021-08-24 06:14:07.104486,9月班
1285,董欣怡,2021-08-26 06:43:04.729558,9月班
1286,閻家豪,2021-08-28 09:34:08.376381,9月班
1287,劉宗翰,2021-08-27 08:22:57.157909,9月班
1288,孫惠雯,2021-08-28 09:02:40.456286,9月班
1289,陳冠廷,2021-08-22 14:07:25.977544,9月班
1290,董佳穎,2021-08-24 23:24:47.117379,9月班
1291,支佳慧,2021-08-30 13:45:44.647049,9月班
1292,趙威廷,2021-08-16 19:57:11.176649,9月班
1293,鄭佩珊,2021-08-29 03:31:54.769936,9月班
1294,陸庭瑋,2021-08-31 17:51:54.734073,9月班
1295,羅郁婷,2021-08-29 01:06:12.709233,9月班
1296,李佩珊,2021-08-27 10:18:43.363649,9月班
1297,沈雅玲,2021-08-30 16:53:27.163133,9月班
1298,霍庭瑋,2021-08-29 06:59:48.603117,9月班
1299,麻淑芬,2021-08-25 09:06:23.101979,9月班
1300,張筱涵,2021-08-26 15:14:31.893739,9月班
1301,劉佩君,2021-08-22 17:18:54.249507,9月班
1302,景思穎,2021-08-21 07:30:15.655997,9月班
1303,徐懿,2021-08-28 16:20:52.183961,9月班
1304,楊家瑋,2021-08-30 20:10:28.668312,9月班
1305,侯淑華,2021-08-25 04:15:00.856015,9月班
1306,王惠雯,2021-08-22 08:08:41.866715,9月班
1307,張志偉,2021-08-19 20:41:04.963749,9月班
1308,黃沖,2021-08-30 07:15:47.735023,9月班
1309,饒家銘,2021-08-26 08:27:08.453138,9月班
1310,朱宜庭,2021-08-16 15:55:17.792684,9月班
1311,遊怡婷,2021-08-30 02:47:43.613588,9月班
1312,馬婉婷,2021-08-22 10:43:20.840689,9月班
1313,謝雅婷,2021-08-25 15:49:18.926813,9月班
1314,李婉婷,2021-08-30 00:59:32.284805,9月班
1315,蔡冠宇,2021-08-20 17:24:35.503167,9月班
1316,劉家豪,2021-08-24 19:31:56.489331,9月班
1317,包雅惠,2021-08-27 22:28:41.352751,9月班
1318,張怡如,2021-08-27 18:49:54.916178,9月班
1319,黃家豪,2021-08-25 22:47:53.584676,9月班
1320,楊羽,2021-08-25 10:56:58.219429,9月班
1321,趙美琪,2021-08-25 17:09:56.232449,9月班
1322,余嘉玲,2021-08-23 14:27:31.996680,9月班
1323,黃中山,2021-08-31 10:49:19.152643,9月班
1324,谷志偉,2021-08-29 16:56:36.171391,9月班
1325,潘淑華,2021-08-31 20:49:21.497814,9月班
1326,葉羽,2021-08-31 18:42:43.055279,9月班
1327,羅威廷,2021-08-29 21:05:46.774011,9月班
1328,王淑惠,2021-08-21 12:38:58.542886,9月班
1329,張建宏,2021-08-26 09:55:13.064916,9月班
1330,林怡君,2021-08-20 02:34:58.139194,9月班
1331,臧佳慧,2021-08-29 02:49:26.641538,9月班
1332,王佳蓉,2021-08-24 18:32:09.752900,9月班
1333,徐淑華,2021-08-27 22:09:49.858071,9月班
1334,俞威廷,2021-08-31 17:46:20.172232,9月班
1335,薛淑玲,2021-08-25 21:33:29.674451,9月班
1336,孟怡萱,2021-08-21 19:59:16.878126,9月班
1337,楊傑克,2021-08-27 21:14:55.213902,9月班
1338,周怡婷,2021-08-27 15:20:20.625024,9月班
1339,徐雅惠,2021-08-21 17:26:50.683506,9月班
1340,李雅琪,2021-08-29 20:14:04.669332,9月班
1341,余詩婷,2021-08-24 14:07:20.562593,9月班
1342,李雅萍,2021-08-29 04:47:15.680689,9月班
1343,徐建宏,2021-08-25 20:02:42.090781,9月班
1344,何信宏,2021-08-25 11:04:29.102256,9月班
1345,蔣怡如,2021-08-21 21:05:22.590116,9月班
1346,龍冠霖,2021-08-26 15:54:56.728876,9月班
1347,賈志豪,2021-08-25 11:29:21.415755,9月班
1348,魏靜宜,2021-08-23 14:24:49.379741,9月班
1349,吳雅萍,2021-08-27 16:31:16.943340,9月班
1350,陳美玲,2021-08-29 11:47:07.592463,9月班
1351,朱佩珊,2021-08-25 04:20:49.631765,9月班
1352,唐冠宇,2021-08-30 02:21:44.567857,9月班
1353,陳雅雯,2021-08-29 04:59:54.919270,9月班
1354,劉雅慧,2021-08-20 06:08:05.139445,9月班
1355,張佳穎,2021-08-29 07:41:59.022317,9月班
1356,趙飛,2021-08-29 20:21:34.554333,9月班
1357,曾宜君,2021-08-20 12:34:26.561106,9月班
1358,周瑋婷,2021-08-30 22:41:51.926526,9月班
1359,吳雅涵,2021-08-25 17:37:05.143299,9月班
1360,莫惠雯,2021-08-31 07:39:43.027684,9月班
1361,張鈺婷,2021-08-24 14:44:00.747699,9月班
1362,羅鈺婷,2021-08-30 14:16:31.960853,9月班
1363,譚龍,2021-08-23 00:36:50.783263,9月班
1364,李建宏,2021-08-23 08:38:02.025959,9月班
1365,羅俊傑,2021-08-30 06:20:04.585053,9月班
1366,洪佳蓉,2021-08-27 15:05:36.532331,9月班
1367,孟冠霖,2021-09-26 14:39:17.004090,10月班
1368,田建宏,2021-09-30 15:44:03.415818,10月班
1369,趙怡如,2021-09-29 18:39:57.339656,10月班
1370,趙怡伶,2021-09-26 06:39:58.165813,10月班
1371,劉雅惠,2021-09-25 12:07:09.085862,10月班
1372,易怡伶,2021-09-25 20:21:46.321576,10月班
1373,羅庭瑋,2021-09-29 17:27:46.511044,10月班
1374,張馨儀,2021-09-30 04:18:28.275974,10月班
1375,楊志宏,2021-09-28 05:57:18.681143,10月班
1376,李怡君,2021-09-30 15:22:48.478629,10月班
1377,廖哲瑋,2021-09-30 15:48:29.272688,10月班
1378,賈欣怡,2021-09-27 21:15:04.242540,10月班
1379,曹威廷,2021-09-22 21:46:36.596047,10月班
1380,傅靜宜,2021-09-30 06:41:23.083905,10月班
1381,劉詩婷,2021-09-26 11:39:52.086348,10月班
1382,陳怡婷,2021-09-30 01:25:16.923573,10月班
1383,何怡伶,2021-09-29 14:29:36.421686,10月班
1384,張靜宜,2021-09-26 17:20:07.540927,10月班
1385,左淑玲,2021-09-28 23:51:17.585469,10月班
1386,王淑貞,2021-09-30 03:02:20.438106,10月班
1387,張威廷,2021-09-30 22:30:05.393036,10月班
1388,羅志宏,2021-09-27 20:32:58.238028,10月班
1389,馮筱涵,2021-09-29 15:14:01.582659,10月班
1390,丁鈺婷,2021-09-27 22:49:23.134951,10月班
1391,林中山,2021-09-30 11:30:06.233832,10月班
1392,何雅琪,2021-09-29 12:39:31.363217,10月班
1393,王志偉,2021-09-21 20:41:42.038596,10月班
1394,韓宇軒,2021-09-29 14:11:51.588537,10月班
1395,楊詩婷,2021-09-25 17:04:16.512061,10月班
1396,李飛,2021-09-23 09:00:58.061413,10月班
1397,李家瑋,2021-09-30 06:21:42.081071,10月班
1398,張庭瑋,2021-09-29 15:44:05.304131,10月班
1399,陳家瑜,2021-09-24 14:25:23.868612,10月班
1400,唐淑玲,2021-09-26 03:39:12.550589,10月班
1401,胡怡萱,2021-09-23 12:40:43.274654,10月班
1402,黃瑋婷,2021-09-27 01:11:41.722159,10月班
1403,周淑貞,2021-09-22 10:20:37.037334,10月班
1404,韋宜君,2021-09-30 18:52:52.667534,10月班
1405,堯婉婷,2021-09-30 05:14:44.838395,10月班
1406,何佳樺,2021-09-26 05:34:00.691831,10月班
1407,柳佳慧,2021-09-22 01:17:46.481946,10月班
1408,唐靜怡,2021-09-27 18:28:47.090967,10月班
1409,張懿,2021-09-27 05:01:05.527368,10月班
1410,陸心怡,2021-09-30 12:31:44.066479,10月班
1411,劉婉婷,2021-09-29 11:31:05.858626,10月班
1412,王宗翰,2021-09-29 15:23:43.391795,10月班
1413,崔佳蓉,2021-09-30 00:11:41.245423,10月班
1414,李佳蓉,2021-09-24 23:25:57.486751,10月班
1415,趙家瑋,2021-09-28 21:54:34.738952,10月班
1416,江佳蓉,2021-09-27 07:53:52.989002,10月班
1417,王怡君,2021-09-29 05:58:23.030945,10月班
1418,榮承翰,2021-09-30 11:24:13.189438,10月班
1419,林家豪,2021-09-26 04:22:07.183781,10月班
1420,董龍,2021-09-29 16:47:18.108839,10月班
1421,蓋美琪,2021-09-30 18:52:57.223530,10月班
1422,鄭淑貞,2021-09-23 14:03:09.511963,10月班
1423,牟龍,2021-09-27 19:47:19.839603,10月班
1424,黃佳玲,2021-09-28 07:06:32.047215,10月班
1425,蔣雅文,2021-09-28 20:03:10.399301,10月班
1426,何欣怡,2021-09-28 09:41:39.354239,10月班
1427,張筱涵,2021-09-30 19:55:12.469769,10月班
1428,段彥廷,2021-09-27 15:48:38.645424,10月班
1429,楊宜庭,2021-09-29 05:17:48.157213,10月班
1430,張龍,2021-09-27 19:49:49.870355,10月班
1431,馬俊宏,2021-09-30 00:37:54.436259,10月班
1432,劉淑慧,2021-09-30 10:08:00.220310,10月班
1433,徐怡如,2021-09-28 08:34:55.202691,10月班
1434,楊淑芬,2021-09-28 11:50:29.639823,10月班
1435,龍惠雯,2021-09-25 13:24:45.668452,10月班
1436,孫建宏,2021-09-26 23:06:09.369995,10月班
1437,譚佩君,2021-09-28 19:46:46.832699,10月班
1438,鄭淑玲,2021-09-27 13:55:05.789237,10月班
1439,邱淑玲,2021-09-30 19:05:39.678748,10月班
1440,崔惠雯,2021-09-29 01:41:34.006301,10月班
1441,楊冠霖,2021-09-28 14:05:51.369774,10月班
1442,黃惠婷,2021-09-24 08:39:57.337907,10月班
1443,歐思穎,2021-09-28 00:40:16.698020,10月班
1444,袁懿,2021-09-29 04:18:34.455949,10月班
1445,尤佩珊,2021-09-29 17:08:07.091745,10月班
1446,冼怡伶,2021-09-30 02:27:14.954132,10月班
1447,高雅芳,2021-09-24 02:37:21.292739,10月班
1448,陳中山,2021-09-22 23:59:37.668931,10月班
1449,歐陽惠婷,2021-09-27 06:07:31.783322,10月班
1450,楊建宏,2021-09-29 23:15:57.020596,10月班
1451,劉馨儀,2021-09-26 17:53:35.633246,10月班
1452,張惠如,2021-09-28 20:29:34.724438,10月班
1453,馬淑華,2021-09-29 01:57:41.414607,10月班
1454,張中山,2021-09-28 10:10:53.129895,10月班
1455,劉馨儀,2021-09-25 11:48:54.394232,10月班
1456,姜雅涵,2021-09-29 19:58:36.568117,10月班
1457,曾怡安,2021-09-30 23:16:19.862575,10月班
1458,張心怡,2021-09-30 05:20:23.381608,10月班
1459,虞俊賢,2021-09-29 07:44:49.049954,10月班
1460,韓雅芳,2021-09-28 19:19:57.674635,10月班
1461,周俊賢,2021-09-30 02:02:06.657168,10月班
